key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-228915256,Diel movement patterns in nominally nocturnal coral reef fishes (Haemulidae and Lutjanidae): Intra vs. Interspecific variation,2024,12,,CORAL REEFS,"[""0722-4028"", ""1432-0975     J9  - CORAL REEFS     JI  - Coral Reefs""]",43,6,1749-1760,"Collins, WP and Bellwood, DR and Morais, RA and Waltham, NJ and Siqueira, AC",,English,,"[""James Cook Univ, Coll Sci & Engn, Res Hub Coral Reef Ecosyst Funct, Townsville, Qld, Australia"", ""Univ Paris Sci & Lettres, CRIOBE, UAR3278, Perpignan, France"", ""James Cook Univ, Coll Sci & Engn, Marine Data Technol Hub, Douglas, Qld, Australia"", ""James Cook Univ, Coll Sci & Engn, Ctr Trop Water & Aquat Ecosyst Res TropWATER, Douglas, Qld, Australia"", ""Edith Cowan Univ, Ctr Marine Ecosyst Res, Sch Sci, Perth, WA, Australia""]","Movement of animals, habitat connectivity, and nutrient transport are key elements in the ecological functioning of coral reef ecosystems. However, most studies have focused on the diurnal component of these aspects; nocturnal patterns are less known. Our study aims to address this knowledge gap by assessing diel movement patterns in ecologically and commercially important nocturnal coral reef fishes. We evaluate 122-days of acoustic telemetry data from 4 nocturnal species in 2 coral reef fish families (Haemulidae and Lutjanidae) on the Great Barrier Reef. For all species, we found a clear division between daytime resting areas on the reef and a move towards off-reef areas at night. This was highlighted in the low number of detections at night and the high average transitions between receivers at twilight. Over our study period, average nocturnal space use area (minimum convex polygon) of Plectorhincus gibbosus was 328,089 m2, Plectorhincus lineatus 28,828 m2, and Lutjanus carponotatus 20,369 m2. However, results from a Principal Component Analysis revealed that space use, and movement, varied substantially within species; for 3 of the 4 species the main axis of variation correlated with individual-level behaviour. These large differences in individual space use patterns highlight the need for caution when using species averages when considering ecosystem functions. Overall, our preliminary observations provide a glimpse into the large spatial extent, potential habitat connectivity, and intra and interspecific variation in activity patterns among large nocturnal Indo-Pacific reef fishes. This highlights their potential importance in maintaining ecosystem links between coral reefs and adjacent habitats.","Times Cited in Web of Science Core Collection:  0     Total Times Cited:  0     Cited Reference Count:  81 | RAYYAN-INCLUSION: {""Bruna""=>""Included""}",10.1007/s00338-024-02573-x,Diel patterns;Intraspecific variation;Behaviour;Space use;Function;Habitat;GRUNTS HAEMULIDAE;SITE FIDELITY;HABITAT USE;BEHAVIOR;SHIFTS;DIVERSITY;ECOSYSTEM;SEASCAPE;SHELTER;IMPACTS,,
rayyan-228915260,Artificial structure selection by economically important reef fishes at North Carolina artificial reefs,2024,4,11,FRONTIERS IN MARINE SCIENCE,2296-7745     J9  - FRONT MAR SCI     JI  - Front. Mar. Sci.,11,,,"Tharp, RM and Hostetter, NJ and Paxton, AB and Taylor, JC and Buckel, JA",,English,,"[""North Carolina State Univ, Dept Appl Ecol, Morehead City, NC 27695 USA"", ""North Carolina State Univ, Dept Appl Ecol, North Carolina Cooperat Fish & Wildlife Res Unit, US Geol Survey, Raleigh, NC USA"", ""NOAA, Natl Ocean Serv, Natl Ctr Coastal Ocean Sci, Beaufort, NC USA""]","Artificial reefs can play an important role in marine fisheries management by supplementing or enhancing natural habitats. Despite their increased use in recent years, the choice of structures used at artificial reefs remains largely haphazard due to the lack of information on reef structure performance. Few studies have examined the use of different artificial reef structures by individual fish. From 2021-2022, we acoustically tagged 72 black sea bass (Centropristis striata), 34 gag (Mycteroperca mircrolepis), 27 greater amberjack (Seriola dumerili), nine almaco jack (S. rivoliana), and eight red snapper (Lutjanus campechanus) on four artificial reef complexes near Cape Lookout, North Carolina, U.S. Available artificial reef structures consisted of materials of various sizes and heights made of concrete and metal. We tracked tagged fish using a fine-scale positioning system for similar to 100 days. Black sea bass exhibited high site fidelity to the artificial structure where we caught them, rarely moving away from that structure. The limited movement resulted in low transition probabilities; we conclude that black sea bass do not select for particular artificial structures. Gag and red snapper moved greater distances away from artificial structures and routinely moved between them. Greater amberjack and almaco jack moved the most within the complexes displaying circling behavior around individual structures and were the only species that regularly moved off the artificial reef complexes. Greater amberjack movements away from artificial sites were most commonly directed to surrounding shipwrecks. Whereas gag, red snapper, almaco jack, and greater amberjack used all available structures, they consistently selected for high relief structures, such as vessels, more than other structures. These results will be useful to managers charged with decisions on what types of structures to place at artificial reef complexes to supplement or enhance habitat for economically important fishes.","Times Cited in Web of Science Core Collection:  3     Total Times Cited:  3     Cited Reference Count:  87 | RAYYAN-INCLUSION: {""Bruna""=>""Included""} | RAYYAN-LABELS: Artificial reefs | USER-NOTES: {""Bruna""=>[""Artificial reef""]}",10.3389/fmars.2024.1373494     WE  - Science Citation Index Expanded (SCI-EXPANDED),artificial reef;habitat selection;telemetry;fish tagging;fine-scale habitat use;BLACK-SEA BASS;SNAPPER LUTJANUS-CAMPECHANUS;TRIGGERFISH BALISTES-CAPRISCUS;RED SNAPPER;HABITAT USE;CENTROPRISTIS-STRIATA;ACOUSTIC TELEMETRY;MOVEMENT PATTERNS;SITE FIDELITY;ASSEMBLAGES,,
rayyan-228915262,Fisheries measures protect European seabass groups with distinct habitat use differently,2023,9,26,ICES JOURNAL OF MARINE SCIENCE,"[""1054-3139"", ""1095-9289     J9  - ICES J MAR SCI     JI  - ICES J. Mar. Sci.""]",80,7,1899-1910,"Goossens, J and Villagra, D and De Putter, G and Verhelst, P and Torreele, E and Moens, T and Reubens, J",,English,,"[""Univ Ghent, Marine Biol Res Grp, B-9000 Ghent, Belgium"", ""Flanders Marine Inst, Marine Observat Ctr, B-8400 Oostende, Belgium"", ""Flanders Res Inst Agr Fisheries & Food, Anim Sci Unit, Marine Res Area, ILVO Marine Res, B-8400 Oostende, Belgium"", ""Sights Nat, B-8490 Jabbeke, Belgium"", ""Res Inst Nat & Forest INBO, Aquat Management, B-1000 Brussels, Belgium""]","We investigated the movements of European seabass, Dicentrarchus labrax, to understand habitat use and connectivity to evaluate how individual seabass are protected by the spatiotemporal fisheries restrictions in place. We tagged seabass with acoustic transmitters in a study area in the Port of Zeebrugge (Belgium) in the southern North Sea. The 370,200 detections of 57 seabass in the study area revealed high residency in the period from late March-May to September-November, as well as high site fidelity (70.7%). Whereas the majority of seabass left the area in winter, 13 seabass stayed in the harbour experiencing temperatures as low as 2.8 & DEG;C. Two groups of seabass were identified having different core movement areas in the inner and outer harbours, although movement between the two areas was possible. The distinct differences in habitat use between these groups resulted in a significantly different level of exposure to fisheries under the same policy framework. By quantifying the level of protection of seabass, based on the spatiotemporal fisheries management in place, our study underlines the importance of taking into account movement behaviour when evaluating conservation measures.","Times Cited in Web of Science Core Collection:  3     Total Times Cited:  3     Cited Reference Count:  62 | RAYYAN-INCLUSION: {""Bruna""=>""Included""}",10.1093/icesjms/fsad116,fisheries management;Dicentrarchus labrax;acoustic telemetry;movement ecology;residency;site fidelity;network analysis;CORAL-REEF FISHES;DICENTRARCHUS-LABRAX;POPULATION-STRUCTURE;MANAGEMENT;TELEMETRY;BEHAVIOR;UNITS,,
rayyan-228915263,Spawning Migrations of the Atlantic Goliath Grouper along the Florida Atlantic Coast,2023,8,,FISHES,2410-3888     J9  - FISHES-BASEL     JI  - Fishes,8,8,,"Ellis, RD and Koenig, CC and Locascio, JV and Malinowski, CR and Coleman, FC",,English,,"[""Florida Fish & Wildlife Conservat Commiss, Fish & Wildlife Res Inst, 100 8th Ave SE, St Petersburg, FL 33701 USA"", ""Florida State Univ, Coastal & Marine Lab, 3618 Coastal Highway, St Theresa, FL 32358 USA"", ""Mote Marine Lab, Sarasota, FL 34236 USA"", ""Ocean First Inst, Key Largo, FL 33037 USA""]","Atlantic goliath grouper (Epinephelus itajara), the largest reef fish in the Western Atlantic, exhibit high site fidelity to home reefs but also undertake annual migrations to distant spawning sites. Once relatively common throughout Florida and the Caribbean, the species; is now considered vulnerable (i.e., threatened with extinction) due to overfishing and loss of juvenile mangrove habitat. Goliath grouper in the southeastern US form annual spawning aggregations on high-relief reefs located offshore of both the Gulf and Atlantic coasts of Florida, US. To determine spawning site fidelity and describe migration patterns to aggregations, we implanted 50 adult goliath grouper with acoustic transmitter tags from 2010 to 2013. Fish were tagged at known spawning sites off the Florida Atlantic coast and tracked as they moved through the FACT Network array of acoustic receivers. From 2010 to 2020, we collected similar to 7 million detections from tagged goliath grouper at 153 sites along the southeastern US Atlantic coast. Results of this long-term tracking indicate that adult goliath grouper are relatively sedentary during non-spawning months (Nov to June) but move significantly more prior to, during, and immediately after spawning (July to Oct). Inter-annual spawning site fidelity was high: between 80-93% of tagged fish returned to the same spawning sites each year. Arrival timing at spawning sites coincided with the August new moon, with males arriving earlier than females. Some individuals migrated distances greater than 400-km per year, with observed migration rates of up to 44-km per day prior to spawning. Long-term tagging data are critical for understanding movement patterns and developing management strategies for this species of special conservation concern.","Times Cited in Web of Science Core Collection:  2     Total Times Cited:  2     Cited Reference Count:  56 | RAYYAN-INCLUSION: {""Bruna""=>""Included""} | RAYYAN-LABELS: Spawning",10.3390/fishes8080398     WE  - Science Citation Index Expanded (SCI-EXPANDED),movement;spawning aggregations;acoustic telemetry;Epinephelus itajara;EPINEPHELUS-ITAJARA;EASTERN GULF;SOUND PRODUCTION;AGGREGATIONS;PATTERNS;DEFINITIONS;TELEMETRY;AGE,,
rayyan-228915264,Intense scuba diving does not alter activity patterns of predatory reef fish: Evidence from a protected tourism hotspot,2023,10,15,JOURNAL OF ENVIRONMENTAL MANAGEMENT,"[""0301-4797"", ""1095-8630     J9  - J ENVIRON MANAGE     JI  - J. Environ. Manage.""]",344,,,"Pereñíguez, JM and Alós, J and Aspillaga, E and Rojo, I and Calò, A and Hackradt, C and Hernández-Andreu, R and Mourre, B and García-Charton, JA",,English,,"[""Univ Murcia, Dept Ecol & Hidrol, Murcia, Spain"", ""Inst Mediterrani Estudis Avancats, IMEDEA CSIC UIB, C Miquel Marques 21, Esporles 07190, Illes Balears, Spain"", ""Univ Barcelona, Dept Biol Evolut Ecol & Ciencies Ambientals, Diagonal 643, Barcelona 08028, Spain"", ""Univ Palermo, Dept Earth & Marine Sci DiSTeM, Via Archirafi 20 22, I-90123 Palermo, Italy"", ""Univ Fed Do Sul Bahia, Ecol & Marine Conservat Lab LECoMAR, Campus Sosigenes Costa,Porto Seguro Eunapolis, BR-45810000 Porto Seguro, Brazil"", ""Balear Isl Coastal Observing & Forecasting Syst, SOCIB, Palma De Mallorca, Mallorca, Spain"", ""Univ Murcia, Dept Ecol & Hidrol, Murcia 30100, Spain""]","The rise of nature-based tourism has provided a new avenue for disturbing animal behaviour, especially in protected areas. One of the most important tourism sectors in aquatic environments is scuba diving, an activity considered sustainable given its non-extractive nature and capability of bringing relevant socio-economic benefits to local communities. However, knowledge about its impact on the activity patterns of aquatic animals is still scarce. Here, we used biotelemetry techniques to assess the importance of scuba diving in modulating the activity patterns of the dusky grouper (Epinephelus marginatus, Lowe, 1834), a marine predatory fish of high interest for fishing and tourism. We implemented Hidden Markov Models (HMMs) on high-resolution acceleration data using a temporal and spatial control while controlling for a set of environmental variables (i.e. photoperiod, time-of-day, moon phase, temperature, wave height, and intensity and direction of marine currents) within a multiple-use marine protected area, and diving tourism hot-spot, of the western Mediterranean Sea. Our results underlined the more decisive influence of environmental-related stressors on the activity patterns of the dusky grouper compared to the impact of scuba diving. A high heterogeneity existed in the response against most of the stressors, including the presence of scuba divers. Overall, the activity of dusky grouper was higher at night than at day, showing a positive relationship with wave height, water temperature, and current intensity and a negative one with the moon phase. Remarkably, our findings, based on novel biotelemetry tools, differed substantially from the common wisdom accepted for this species. In conclusion, there is no clear evidence of scuba divers influence on the general activity patterns of the dusky grouper. Beyond their relevance from an ecological perspective, these results provide useful insights for the sustainable management of coastal resources, suggesting that scuba diving, when properly carried out, can represent an important sector to foster for the blue growth of coastal communities.","Times Cited in Web of Science Core Collection:  3     Total Times Cited:  3     Cited Reference Count:  71 | RAYYAN-INCLUSION: {""Bruna""=>""Included""}",10.1016/j.jenvman.2023.118491,Accelerometers;Acoustic telemetry;Biologging;Human-disturbance;Rocky-reef fish;Fish behaviour;GROUPER EPINEPHELUS-MARGINATUS;FORECASTING SYSTEM;HABITAT USE;MOVEMENT;PERCEPTIONS;SERRANIDAE;BEHAVIOR;ECOLOGY;DIVERS;SOCIB,,
rayyan-228915265,Spawning-related fish movement synchrony of white seabream Diplodus sargus in a no-take zone,2023,3,9,MARINE ECOLOGY PROGRESS SERIES,"[""0171-8630"", ""1616-1599     J9  - MAR ECOL PROG SER     JI  - Mar. Ecol.-Prog. Ser.""]",707,,99-113,"Pedaccini, M and Sousa, I and Bentes, L and DeBenito-Abelló, C and Lino, PG and Moland, E and Gonçalves, JMS and Costa, BHE",,English,,"[""Univ Algarve, Ctr Marine Sci CCMAR, Campus Gambelas, P-8005139 Faro, Portugal"", ""Tunghai Univ, Dept Life Sci, Taichung 40704, Taiwan"", ""IP, Portuguese Inst Ocean & Atmosphere IPMA, P-8700305 Olhao, Portugal"", ""Inst Marine Res IMR, POB 1870 Nordnes, N-5817 Bergen, Norway"", ""Univ Agder, Dept Nat Sci, Ctr Coastal Res CCR, POB 422, N-4604 Kristiansand, Norway""]","Studies assessing fish spatial behaviour are essential to better understand the performance of marine protected areas. However, few studies have focused on the fine-scale movements related to reproduction, a key feature in a population's perpetuation. Knowledge of movements modulated by reproduction is particularly important since migrations towards spawning grounds may increase the vulnerability to threats if these occur outside protected areas. Further, reproductive behavioural polymorphism is widely understudied but may affect reproductive success. In this work, we used acoustic telemetry to study a harvested fish, Diplodus sargus, within a small no-take zone in Portugal. To our knowledge, this is one of the first studies to focus on both the environmental and spatial features affecting D. sargus reproduction and the first to explore intraspecific variability of spawning movements. We report, during the spawning period, short-term (<1 d) and synchronised wider movements towards the open sea and deeper areas-'extraordinary movements'-involving 34% of the individuals. These extraordinary movements were associated with environmental factors known to trigger reproduction in this species (low but increasing photoperiod and temperature, waxing and full moon phases). Our results suggest that different behavioural groups (residents, commuters and low site-attached fish) exhibiting differences in spatial use may aggregate and spawn simultaneously, which may contribute to the maintenance of behavioural polymorphisms and the species' evolutionary adaptability. These findings have implications for the conservation of D. sargus and are relevant to other species that also conduct such critical migrations. Our results should enable adaptive management of fisheries targeting this species.","Times Cited in Web of Science Core Collection:  0     Total Times Cited:  0     Cited Reference Count:  77 | RAYYAN-INCLUSION: {""Bruna""=>""Included""} | RAYYAN-LABELS: MPA,Spawning",10.3354/meps14266     WE  - Science Citation Index Expanded (SCI-EXPANDED),Marine protected area;White seabream;Acoustic telemetry;Reproductive behaviour;Extraordinary movements;Intraspecific variation;SEA BREAM;MARINE RESERVES;HABITAT USE;LUNAR SYNCHRONIZATION;REPRODUCTIVE-BIOLOGY;PARTIAL MIGRATION;PROTECTED AREAS;SITE FIDELITY;HOME RANGES;REEF FISH,,
rayyan-228915267,Acoustic telemetry system as a novel approach for evaluating the effective attraction of fish to artificial reefs,2023,2,7,FRONTIERS IN MARINE SCIENCE,2296-7745     J9  - FRONT MAR SCI     JI  - Front. Mar. Sci.,10,,,"Lyu, S and Lauden, HN and Wang, LF and Chen, GB and Wang, ZC and Lin, K and Wang, XF",,English,,"[""Guangdong Ocean Univ, Coll Fisheries, Zhanjiang, Peoples R China"", ""Univ Toronto Scarborough, Dept Biol Sci, Toronto, ON, Canada"", ""Chinese Acad Fishery Sci, South China Sea Fisheries Res Inst, Guangzhou, Peoples R China"", ""Minist Agr & Rural Affairs, Sci Observing & Expt Stn South China Sea Fishery R, Guangzhou, Peoples R China"", ""State Ocean Adm, South China Sea Stand & Metrol Ctr, Guangzhou, Peoples R China""]","Due to there being a lack of suitable approaches for evaluating the effectiveness of artificial reefs, two experiments were designed to examine the feasibility of acoustic telemetry, a rapidly developing method for tracking aquatic animals. The first experiment was conducted to understand the deployment procedures of an acoustic telemetry system and determine the appropriate deployment of receivers' spacing, while the second experiment was conducted to quantify the site fidelity and habitat use of 11 reef fish in the Fangchenggang artificial reef area in the northern South China Sea, China. The results indicated that the logistic regression model was an effective way to balance the detection probability at different distances between the range test transmitter and receiver, with above 50% detection probability within 240 m and 80% detection probability within 110 m. The residency index, as a quantification of site fidelity, was 0.85 +/- 0.24. The 100% minimum convex polygon, 95% kernel utilization distribution, and 50% kernel utilization distribution, which are the indicators of habitat use, were 34,522.94 +/- 35,548.95, 1,467.52 +/- 1,619.05, and 236.01 +/- 294.59 m(2), respectively. High site fidelity and the small spatial scale of habitat use for reef fish demonstrated that artificial reefs were an effective man-made structure to attract fish. Overall, this study supports the feasibility of the acoustic telemetry system, indicating that it provides a good approach for quantifying the associations between artificial reefs and fish.","Times Cited in Web of Science Core Collection:  0     Total Times Cited:  0     Cited Reference Count:  58 | RAYYAN-INCLUSION: {""Bruna""=>""Included""} | RAYYAN-LABELS: Artificial reefs",10.3389/fmars.2023.1130547     WE  - Science Citation Index Expanded (SCI-EXPANDED),acoustic telemetry;artificial reefs;fish attraction;site fidelity;habitat use;FISHERIES MANAGEMENT;LUTJANUS-CAMPECHANUS;MOVEMENT PATTERNS;DETECTION RANGE;RED SNAPPER;BIOTELEMETRY;ASSEMBLAGES;PERFORMANCE;BEHAVIOR,,
rayyan-228915270,Fine-scale movement of northern Gulf of Mexico red snapper and gray triggerfish estimated with three-dimensional acoustic telemetry,2022,8,22,SCIENTIFIC REPORTS,2045-2322     J9  - SCI REP-UK     JI  - Sci Rep,12,1,,"Bohaboy, EC and Cass-Calay, SL and Patterson, WF",,English,,"[""Univ Florida, Fisheries & Aquat Sci, Sch Forest Fisheries & Geomat Sci, 7922 NW 71St St, Gainesville, FL 32653 USA"", ""Pacific Isl Fisheries Sci Ctr, Natl Marine Fisheries Serv, 1845 Wasp Blvd,Bldg 176, Honolulu, HI 96818 USA"", ""Natl Marine Fisheries Serv, Southeast Fisheries Sci Ctr, 75 Virginia Beach Dr, Miami, FL 33149 USA""]","Red snapper and gray triggerfish are ecologically, economically, and culturally important reef fishes in the northern Gulf of Mexico (nGOM). Scientists and managers have sought to understand the effects of artificial reefs on reef fish ecology by focusing on fish residency and movement at artificial reefs with less attention paid to broader spatial and temporal patterns in reef fish movements among a seascape of artificial reefs and other natural habitats. We used novel large-scale (> 15 km(2)) geopositioning acoustic telemetry arrays to track the 3-dimensional movements of tagged red snapper (n = 59) and gray triggerfish (n = 15) among multiple nGOM artificial reefs up to 333 days. Tagged fish moved frequently among artificial reefs and had shorter residence times at the release reef (43 days for red snapper and 3 days for gray triggerfish) than reported in previous studies. Both species displayed high individual variability in movement dynamics, as well as seasonally variable diel patterns of habitat use, height above bottom, and distance to reefs, which may have been driven by dynamic influences of predation risk, physiological constraints, or foraging over time and space. The wider seascape view revealed in this study demonstrates the importance of including multiple artificial reefs over long timescales to capture individual, spatial, and temporal variability in reef fish movement.","Times Cited in Web of Science Core Collection:  8     Total Times Cited:  8     Cited Reference Count:  98 | RAYYAN-INCLUSION: {""Bruna""=>""Included""}",10.1038/s41598-022-18451-x     WE  - Science Citation Index Expanded (SCI-EXPANDED),LUTJANUS-CAMPECHANUS;BALISTES-CAPRISCUS;ARTIFICIAL REEFS;SITE FIDELITY;NORTHEASTERN GULF;ATLANTIC WATERS;HABITAT USE;PATTERNS;GROWTH;PERSONALITY,,
rayyan-228915271,Toward Naturalistic Neuroscience of Navigation: Opportunities in Coral Reef Fish,2022,7,5,FRONTIERS IN NEURAL CIRCUITS,1662-5110     J9  - FRONT NEURAL CIRCUIT     JI  - Front. Neural Circuits,16,,,"Givon, S and Pickholtz, R and Pickholtz, EY and Ben-Shahar, O and Kiflawi, M and Segev, R",,English,,"[""Ben Gurion Univ Negev, Dept Life Sci, Beer Sheva, Israel"", ""Ben Gurion Univ Negev, Zlotowski Ctr Neurosci, Beer Sheva, Israel"", ""Tel Aviv Univ, George S Wise Fac Life Sci, Sch Zool, Tel Aviv, Israel"", ""Interuniv Inst Marine Sci, Elat, Israel"", ""Ben Gurion Univ Negev, Dept Comp Sci, Beer Sheva, Israel"", ""Ben Gurion Univ Negev, Dept Biomed Engn, Beer Sheva, Israel""]","The ability to navigate in the world is crucial to many species. One of the most fundamental unresolved issues in understanding animal navigation is how the brain represents spatial information. Although navigation has been studied extensively in many taxa, the key efforts to determine the neural basis of navigation have focused on mammals, usually in lab experiments, where the allocated space is typically very small; e.g., up to one order of magnitude the size of the animal, is limited by artificial walls, and contains only a few objects. This type of setting is vastly different from the habitat of animals in the wild, which is open in many cases and is virtually limitless in size compared to its inhabitants. Thus, a fundamental open question in animal navigation is whether small-scale, spatially confined, and artificially crafted lab experiments indeed reveal how navigation is enacted in the real world. This question is difficult to study given the technical problems associated with in vivo electrophysiology in natural settings. Here, we argue that these difficulties can be overcome by implementing state of the art technology when studying the rivulated rabbitfish, Siganus rivulatus as the model animal. As a first step toward this goal, using acoustic tracking of the reef, we demonstrate that individual S. rivulatus have a defined home range of about 200 m in length, from which they seldom venture. They repeatedly visit the same areas and return to the same sleeping grounds, thus providing evidence for their ability to navigate in the reef environment. Using a clustering algorithm to analyze segments of daily trajectories, we found evidence of specific repeating patterns in behavior within the home range of individual fish. Thus, S. rivulatus appears to have the ability to carry out its daily routines and revisit places of interest by employing sophisticated means of navigation while exploring its surroundings. In the future, using novel technologies for wireless recording from single cells of fish brains, S. rivulatus can emerge as an ideal system to study the neural basis of navigation in natural settings and lead to ""electrophysiology in the wild.""","Times Cited in Web of Science Core Collection:  4     Total Times Cited:  4     Cited Reference Count:  35 | RAYYAN-INCLUSION: {""Bruna""=>""Included""}",10.3389/fncir.2022.895381     WE  - Science Citation Index Expanded (SCI-EXPANDED),navigation;electrophysiology;rabbitfish;coral reef;Siganus rivulatus;HEAD-DIRECTION;REPRESENTATION;CELLS;HIPPOCAMPUS;MECHANISMS;FOREBRAIN;MAP,,
rayyan-228915273,"Use of acoustic telemetry to evaluate fish movement, habitat use, and protection effectiveness of a coral reef no-take zone (NTZ) in Brazil",2022,4,28,MARINE ECOLOGY PROGRESS SERIES,"[""0171-8630"", ""1616-1599     J9  - MAR ECOL PROG SER     JI  - Mar. Ecol.-Prog. Ser.""]",688,,113-131,"Lippi, DL and Coxey, MS and Rooker, JR and Rezende, SM and Dance, MA and Gaspar, ALB and Maida, M and Ferreira, BP",,English,,"[""Univ Fed Pernambuco, Dept Oceanog, BR-50740550 Recife, PE, Brazil"", ""ISPA Inst Univ, MARE Marine & Environm Sci Ctr, P-1149041 Lisbon, Portugal"", ""Texas A&M Univ, Dept Marine Biol, Galveston, TX 77553 USA"", ""Texas A&M Univ, Dept Ecol & Conservat Biol, College Stn, TX 77843 USA"", ""Natl Ctr Res & Conservat Marine Biodivers Northea, BR-55578000 Tamandare, Brazil"", ""Louisiana State Univ, Dept Oceanog & Coastal Sci, Baton Rouge, LA 70803 USA""]","Movement is a key factor that shapes the distribution and structure of fish populations and influences the extent of the benefits provided by conservation and management measures, such as the implementation of marine no-take zones (NTZs). We used visual surveys and acoustic telemetry to investigate density and movement of 2 Brazilian endemic and highly targeted reef fish species inside and outside a coral reef NTZ, and subsequently inferred the effectiveness of the NTZ for protecting these species. To do so, visual surveys were performed on protected and unprotected reefs between 2016 and 2017. Moreover, 20 gray parrotfish Sparisoma axillare and 9 Brazilian snapper Lutjanus alexandrei were tagged with acoustic transmitters and passively monitored from December 2016 to October 2017. For both species, fish densities were significantly higher within the NTZ. Also, both species presented a high residence index over the short term, indicating they were full-time residents of the monitored area until detections were permanently lost. The absence of detections may indicate relocation to deeper reefs, predation, or fishing mortality when fish left the NTZ. Home ranges were small (0.10 to 0.45 km(2)), and both species presented spatially segregated subgroups within the populations. On average, the percentage of the home ranges within the NTZ was 88% for S. axillare and 95% for L. alexandrei. The results showed that small NTZs that are important to part of the life cycle of a target species are an effective measure to conserve reef fish populations, and also highlight the importance of fisheries management outside NTZs.","Times Cited in Web of Science Core Collection:  6     Total Times Cited:  7     Cited Reference Count:  115 | RAYYAN-INCLUSION: {""Bruna""=>""Included""} | RAYYAN-LABELS: MPA",10.3354/meps14020     WE  - Science Citation Index Expanded (SCI-EXPANDED),Acoustic monitoring;Marine protected area;Sparisoma axillare;Lutjanus alexandrei;Parrotfish;Snapper;Home range;Spatial ecology;Reserve effect;SNAPPER LUTJANUS-CAMPECHANUS;HOME-RANGE SIZE;COMMERCIALLY IMPORTANT FISHES;MARINE RESERVE;RED SNAPPER;SITE FIDELITY;ARTIFICIAL REEFS;SPATIAL-PATTERNS;FEEDING PATTERNS;DIPLODUS-SARGUS,,
