Rayyan Key,Authors,DOI,Title,Abstract,Date,User1,Decision,Labels,Notes
rayyan-228915252,"Casselberry, GA and Skomal, GB and Griffin, LP and Brownscombe, JW and Finn, JT and Dello Russo, J and Filous, A and Holder, PE and Daughtry, B and Kneebone, J and Morley, D and Lowerre-Barbieri, SK and Anderson, BN and Sulikowski, J and Cooke, SJ and Danylchuk, AJ",10.1111/jfb.70039,Migratory patterns and seasonal habitat use of great hammerhead sharks (Sphyrna mokarran) in the southeastern United States,"The great hammerhead shark (Sphyrna mokarran) is a highly mobile shark species whose population in the United States declined dramatically through the early 2000s. Their spatial ecology is poorly understood, creating challenges for effective conservation of this enigmatic marine predator. Using acoustic telemetry and network analyses, we describe the movement patterns of 15 mature great hammerhead sharks (207-331.5 cm fork length) primarily within the waters of the southeastern United States from April 2019 to December 2022, including identifying movement corridors, core use areas and seasonal shifts in habitat use. Great hammerheads exhibited partial migration; some sharks undertook consistent, repeatable, round-trip migrations between the tagging site in the Florida Keys and northern points in the Gulf of Mexico and Atlantic coast. Conversely, others remained in the Florida Keys year-round. Network analysis coupled with community detection algorithms revealed that individual great hammerheads displayed oceanic basin affinity, favouring migration to either the Atlantic Ocean or Gulf of Mexico. Great hammerheads that remained in the Florida Keys shifted their habitat use seasonally from inshore channels (spring and summer) to offshore artificial reefs and the natural reef tract (summer through winter). These shifts may be driven by prey availability, as core use areas often corresponded to known locations of seasonal spawning aggregations for reef fish. These data fill an important knowledge gap for great hammerhead migratory patterns that can improve spatial management strategies for this historically overexploited species. We discuss the importance of drawing upon data from multiple tagging locations for highly mobile species management, particularly in the designation of essential fish habitat.",2025-04-03,Bruna,Excluded,"Elasmo,__EXR__Elasmo",
rayyan-228915253,"Rasmuson, LK and Blume, MTO and Lawrence, KA and Laughlin, BM and Edwards, CA and Terwilliger, MR and Ayrea, AC and Mcinturf, AG and Legare, BJ and Chapple, TK",10.3389/fmars.2025.1539206     WE  - Science Citation Index Expanded (SCI-EXPANDED),Routine large-scale movements of the yelloweye rockfish (Sebastes ruberrimus),"Of the seven species of Pacific rockfish declared overfished in the California Current in 2008, yelloweye rockfish (Sebastes ruberrimus) is the only remaining overfished rockfish species. Part of the original rebuilding plan included designation of a yelloweye rockfish conservation area, a rocky reef closed off the Central Coast of Oregon that is closed to bottom fishing. The yelloweye rockfish conservation area's ability to help rebuild the population, is predicated on the theory that demersal rockfishes are relatively sedentary. However, in the years since being declared overfished, acoustic tagging studies suggested yelloweye rockfish did not remain in the yelloweye rockfish conservation area. However, where they went remained a mystery. In this paper we describe the use of pop-off satellite tags to conduct a mark-recapture study of 11 yelloweye rockfish tagged within the Stonewall Bank Yelloweye Rockfish Conservation Area. We used back-in-time particle tracking coupled with an ocean circulation model in an attempt to increase the precision in the location at which each tag shed off the fish, and further validated that location by associating it to the underlying seafloor habitat type. Ten out of eleven tags were shed from the fish while it was outside the Stonewall Bank Yelloweye Rockfish Conservation Area's boundary. While most fish remained within 50 km of the Stonewall Bank Yelloweye Rockfish Conservation Area, one tagged fish swam to an offshore reef off Central Washington (similar to 40 km from the shore). Backtracked locations were more likely over rock than the initial satellite transmission, indicating the method was effective at identifying tag shed locations. We found no relationship between days at large, fish sex or length and the distance between release site and shed location. Our work supports a growing body of work that suggests yelloweye rockfish have less site fidelity than previously hypothesized.",2025-02-27,Bruna,Excluded,"Not acoustic telemetry,__EXR__Not acoustic telemetry",
rayyan-228915254,"Sasaki, I and Matsumoto, Y and Takeda, M and Matsushita, Y and Nakamura, I and Kawabe, R",10.1016/j.rsma.2025.104037,Habitat use and movements of Japanese spiny lobster (Panulirus japonicus) in a proposed offshore wind farm area: Implications for the coexistence of offshore wind energy development and coastal fisheries,"As Japan accelerates offshore wind farm (OWF) development to achieve carbon neutrality by 2050, it is crucial to understand the impacts of OWFs on local fisheries. To provide baseline data for the assessing these impacts on fisheries, we tracked the movements of Japanese spiny lobsters (Panulirus japonicus), a commercially important species, using acoustic telemetry in an area that was designated by the government as a promotion zone for OWF development. Acoustic tags were attached to 23 adult lobsters (CL = 97.9 f 17.7 mm), which were then released in an isolated rocky reef frequently used by local fishermen as a lobster fishing ground. The tagged lobsters were detected within the reef for 7-97 (mean f SD = 52 f 29) days, with five individuals remaining within the reef > 90 days. The duration of home-area occupancy during which lobsters likely occupied the same or adjacent shelters within the reef ranged 2-42 (mean f SD = 5.7 f 5.8) days. Movement network analyses revealed that lobsters often relocated shelters both within and between habitat patches, with some traveling over 1-km per night to reach another patch. These findings suggest that if OWF structures function as new habitats for this species, the structures' introduction could alter the lobsters' spatial distribution and movement network. We believe that a comparative approach examining the space use of commercial species before and after OWF development is essential for determining the precise impacts of OWF introduction on local fisheries.",2025-02-01,Bruna,Excluded,"Non-fish species,__EXR__Non-fish species",
rayyan-228915255,"Welch, RJ and Childs, AR and Murray, TS and Darnaude, AM and James, NC",10.1111/jfb.16011,The role of acoustic telemetry in assessing fish connectivity within marine seascapes: A global review,"The study of aquatic animal movements is a rapidly growing field of research, with tracking methodology ever developing and refining. Acoustic telemetry is arguably the most popular method used to study the movements of fish. Despite this method being able to elucidate many aspects of movement behavior, including residency, home range, and migration, among others, one aspect that remains challenging is the study and definition of connectivity, particularly within marine seascapes. As such, this review assesses published literature on acoustic telemetry studies, which have specifically assessed some aspect of fish connectivity, and discusses these in terms of study distribution and overall trends, the diversity of taxa and life stage assessed, the role that large-scale acoustic telemetry networks plays in assessing connectivity of marine fishes, how connectivity studies have been used in an applied context, and proposes definitions linked to specific types of connectivity, which will assist future researchers when conceptualizing studies. Further, methods that can be used in conjunction with acoustic telemetry to complement the data are discussed. Given that marine resources and habitats are intricately connected, this review highlights the critical role that acoustic telemetry can play in assessing this link. It is envisaged that our developed framework of connectivity definitions will assist future studies and stakeholders in assessing ecosystem functioning and ultimately contribute to improved conservation and management of marine fish populations and ecosystems.",2024-12-05,Bruna,Excluded,"Review article,__EXR__Review article",
rayyan-228915256,"Collins, WP and Bellwood, DR and Morais, RA and Waltham, NJ and Siqueira, AC",10.1007/s00338-024-02573-x,Diel movement patterns in nominally nocturnal coral reef fishes (Haemulidae and Lutjanidae): Intra vs. Interspecific variation,"Movement of animals, habitat connectivity, and nutrient transport are key elements in the ecological functioning of coral reef ecosystems. However, most studies have focused on the diurnal component of these aspects; nocturnal patterns are less known. Our study aims to address this knowledge gap by assessing diel movement patterns in ecologically and commercially important nocturnal coral reef fishes. We evaluate 122-days of acoustic telemetry data from 4 nocturnal species in 2 coral reef fish families (Haemulidae and Lutjanidae) on the Great Barrier Reef. For all species, we found a clear division between daytime resting areas on the reef and a move towards off-reef areas at night. This was highlighted in the low number of detections at night and the high average transitions between receivers at twilight. Over our study period, average nocturnal space use area (minimum convex polygon) of Plectorhincus gibbosus was 328,089 m2, Plectorhincus lineatus 28,828 m2, and Lutjanus carponotatus 20,369 m2. However, results from a Principal Component Analysis revealed that space use, and movement, varied substantially within species; for 3 of the 4 species the main axis of variation correlated with individual-level behaviour. These large differences in individual space use patterns highlight the need for caution when using species averages when considering ecosystem functions. Overall, our preliminary observations provide a glimpse into the large spatial extent, potential habitat connectivity, and intra and interspecific variation in activity patterns among large nocturnal Indo-Pacific reef fishes. This highlights their potential importance in maintaining ecosystem links between coral reefs and adjacent habitats.",2024-12-01,Bruna,Included,,
rayyan-228915257,"Legernes, M and Nemeth, RS and Legare, B",10.1016/j.ecss.2024.108958,"Movements, foraging and habitat selection of southern stingrays (Hypanus americanus) in a tropical ecosystem altered by an invasive seagrass","This study provides some of the first evidence of how a common Caribbean fish species that relies on seagrass and sand habitats interacts with an invasive seagrass. The invasive seagrass Halophila stipulacea, first documented in the Caribbean in 2002, has rapidly expanded its range, displacing native seagrasses, and overgrowing bare sand. The southern stingray (Hypanus americanus) uses shallow seagrass and sand habitats for foraging. This paper examined the impacts of the invasive seagrass, H. stipulacea, on southern stingray behavior, foraging and movement patterns using acoustic telemetry and visual observations. From 2015 to 2018, 15 southern stingrays (14 juveniles of unknown sex and 1 female) were tagged with acoustic transmitters and passively monitored within an acoustic array in Brewers and Perseverance Bays, St. Thomas, United States Virgin Islands. The residence time, rates of movement and activity spaces for 50% and 95% utilization distributions (UD) were calculated for day and night periods. Tagged southern stingrays were detected within the array on average for 260 d (range 11-801 d) and residency for all individuals averaged 53% over the monitoring period (1079 d). Mean rates of movement per individual ranged from 40 to 150 m h(-1), was lowest during the nighttime and were significantly higher during crepuscular periods. Activity spaces during day and night periods were nearly identical and averaged 0.05 km(2) and 0.25 km(2) for 50% and 95% UD, respectively. Distances between day and night 50% UD activity spaces was 148 m (range 8-409 m) and mean percent overlap was 38%. In addition to acoustic monitoring, benthic cover of available habitats and visual surveys of stingray behavior and habitat preferences were conducted along fixed transects. Monotypic stands of the invasive H. stipulacea seagrass represented 42% of benthic cover, followed by bare sand (27%), mixed patches of native and invasive seagrasses (23%) and the native Syringodium filiforme (7%). A habitat selection index (HSI) comparing the percent cover of available habitats and habitats occupied by stingrays found a strong preference for the native seagrass S. filiforme (HSI = 2.30) and bare sand (HSI = 1.79) compared to H. stipulacea (HSI = 0.70). Visual surveys also revealed that 50% of foraging stingrays were in S. filiforme, while 28% and 17% were foraging in H. stipulacea and bare sand, respectively. Our results are an important baseline for examining how further expansion of H. stipulacea may affect southern stingray movement patterns and foraging preferences.",2024-12-01,Bruna,Excluded,"Elasmo,__EXR__Elasmo",
rayyan-228915258,"Williamson, MJ and Tebbs, EJ and Curnick, DJ and Ferretti, F and Carlisle, AB and Chapple, TK and Schallert, RJ and Tickler, DM and Block, BA and Jacoby, DMP",10.1038/s42003-024-06707-3     WE  - Science Citation Index Expanded (SCI-EXPANDED),Environmental stress reduces shark residency to coral reefs,"Coral reef ecosystems are highly threatened and can be extremely sensitive to the effects of climate change. Multiple shark species rely on coral reefs as important habitat and, as such, play a number of significant ecological roles in these ecosystems. How environmental stress impacts routine, site-attached reef shark behavior, remains relatively unexplored. Here, we combine 8 years of acoustic tracking data (2013-2020) from grey reef sharks resident to the remote coral reefs of the Chagos Archipelago in the Central Indian Ocean, with a satellite-based index of coral reef environmental stress exposure. We show that on average across the region, increased stress on the reefs significantly reduces grey reef shark residency, promoting more diffuse space use and increasing time away from shallow forereefs. Importantly, this impact has a lagged effect for up to 16 months. This may have important physiological and conservation consequences for reef sharks, as well as broader implications for reef ecosystem functioning. As climate change is predicted to increase environmental stress on coral reef ecosystems, understanding how site-attached predators respond to stress will be crucial for forecasting the functional significance of altering predator behavior and the potential impacts on conservation for both reef sharks and coral reefs themselves.        Environmental stress on coral reefs is increasing. Authors show a stress-related reduction in residency of grey reef sharks on the remote reefs of the Chagos Archipelago, promoting more diffuse space use and increased time away from the shallow forereefs.",2024-09-09,Bruna,Excluded,"Elasmo,__EXR__Elasmo",
rayyan-228915259,"Lear, KO and Estrabeau, C and Morgan, DL and Whitney, NM and Gleiss, AC and Bignell, C and Pillans, RD and Bateman, RL",10.1007/s00227-024-04500-8     WE  - Science Citation Index Expanded (SCI-EXPANDED),The secret lives of wedgefish: first insights into fine-scale behaviour and movement ecology of a globally imperilled ray,"Wedgefishes have recently been recognised as one of the most imperilled marine fish families worldwide. However, many knowledge gaps about their biology and ecology hinder conservation efforts. Here we used a combination of acoustic telemetry and acceleration datalogger technology to gain fundamental insights into the fine-scale behaviour, habitat use, size of activity spaces, and residency of adult female bottlenose wedgefish (Rhynchobatus australiae) in the Ningaloo region of northwestern Australia. Acoustic tracking data over one year demonstrated that female bottlenose wedgefish continuously resided in a relatively small area of a productive coral reef lagoon. Acceleration data revealed that bottlenose wedgefish were nocturnal, with time of day having a greater influence on activity than tidal patterns. Bottlenose wedgefish also increased activity with seasonally increasing temperatures. We identified several discrete behavioural signatures in the acceleration data, inferred to correspond to chafing, settling/burying behaviour, foraging behaviour, and escape behaviour, based on their kinematics. Further observations are required to confirm these behaviours with certainty. Additionally, according to datalogger and acoustic data, tagged bottlenose wedgefish rarely inhabited areas greater than 2 m deep. Together, these first insights into behaviour and habitat use of adult female bottlenose wedgefish highlight the importance of nearshore habitats for this species and indicate that they may be highly resident to specific areas. Our findings provide important insight into the conservation of bottlenose wedgefish in northwestern Australia, including potential effectiveness of protected areas and interactions with specific anthropogenic threats such as shoreline development and recreational beach fishing.",2024-09-01,Bruna,Excluded,"Elasmo,__EXR__Elasmo",
rayyan-228915260,"Tharp, RM and Hostetter, NJ and Paxton, AB and Taylor, JC and Buckel, JA",10.3389/fmars.2024.1373494     WE  - Science Citation Index Expanded (SCI-EXPANDED),Artificial structure selection by economically important reef fishes at North Carolina artificial reefs,"Artificial reefs can play an important role in marine fisheries management by supplementing or enhancing natural habitats. Despite their increased use in recent years, the choice of structures used at artificial reefs remains largely haphazard due to the lack of information on reef structure performance. Few studies have examined the use of different artificial reef structures by individual fish. From 2021-2022, we acoustically tagged 72 black sea bass (Centropristis striata), 34 gag (Mycteroperca mircrolepis), 27 greater amberjack (Seriola dumerili), nine almaco jack (S. rivoliana), and eight red snapper (Lutjanus campechanus) on four artificial reef complexes near Cape Lookout, North Carolina, U.S. Available artificial reef structures consisted of materials of various sizes and heights made of concrete and metal. We tracked tagged fish using a fine-scale positioning system for similar to 100 days. Black sea bass exhibited high site fidelity to the artificial structure where we caught them, rarely moving away from that structure. The limited movement resulted in low transition probabilities; we conclude that black sea bass do not select for particular artificial structures. Gag and red snapper moved greater distances away from artificial structures and routinely moved between them. Greater amberjack and almaco jack moved the most within the complexes displaying circling behavior around individual structures and were the only species that regularly moved off the artificial reef complexes. Greater amberjack movements away from artificial sites were most commonly directed to surrounding shipwrecks. Whereas gag, red snapper, almaco jack, and greater amberjack used all available structures, they consistently selected for high relief structures, such as vessels, more than other structures. These results will be useful to managers charged with decisions on what types of structures to place at artificial reef complexes to supplement or enhance habitat for economically important fishes.",2024-04-11,Bruna,Included,Artificial reefs,"{""Bruna""=>[""Artificial reef""]}"
rayyan-228915261,"Tickler, DM and Carlisle, AB and Meeuwig, JJ and Chapple, TK and Curnick, DJ and Dale, JJ and Castleton, MJ and Schallert, RJ and Block, BA",10.3354/meps14376     WE  - Science Citation Index Expanded (SCI-EXPANDED),Pop-up archival tags reveal environmental influences on the vertical movements of silvertip sharks Carcharhinus albimarginatus,"Vertical space use informs the ecology and management of marine species, but studies of reef-associated sharks often focus on horizontal movements. We analysed the vertical movements of silvertip sharks Carcharhinus albimarginatus using pop-up archival tags deployed on 7 individuals in the Chagos Archipelago, central Indian Ocean. The sharks changed depth predictably with water column thermal structure, moving deeper with seasonal increases in mixed layer depth while occupying a narrow ambient water temperature range around similar to 27 degrees C. At shorter timescales, higher resolution data from 5 tags showed that silvertip shark depth varied cyclically with surface light levels, increasing during daylight and on nights around the full moon. This matches the diel vertical migrations of many fish species, suggesting that the sharks' light-driven depth changes might relate to foraging. While most vertical movements (>98%) were within the mixed layer, deeper dives to 200-800 m occurred approximately every 3 d. High-resolution data from one recovered tag showed the shark ascending deep (>200 m) dives in 2 sharply defined phases, initially fast then slow. Analysis of dive profiles against dissolved oxygen (DO) data suggested that the shark may have ascended rapidly to escape low DO levels at depth, then reduced its ascent rate by 50-80% once DO levels increased. While a small sample, the electronic tags deployed in this study revealed the silvertip sharks' predictable use of mixed layer waters, narrow thermal range and apparent intolerance of hypoxic conditions. These characteristics may exacerbate the species' vulnerability as oceanic warming and shoaling oxygen minimum zones modify vertical habitat availability.",2023-08-24,Bruna,Excluded,"Elasmo,__EXR__Elasmo",
